Linux 6.2.0-36-generic (alexey-ubuntu) 	20.11.2023 	_x86_64_	(8 CPU)

00:08:27      UID       PID   cswch/s nvcswch/s  Command
00:08:34        0    240808      0,00  23200,00  stress-ng
00:08:34        0    240809      0,00   2637,25  stress-ng
00:08:34        0    240810      0,00  23114,71  stress-ng
00:08:34        0    240811      0,00  17161,76  stress-ng
00:08:34        0    240812      0,00  28833,33  stress-ng
00:08:34        0    240813      0,00  22679,41  stress-ng
00:08:34        0    240814      0,00  24344,12  stress-ng
00:08:34        0    240815      0,00  26821,57  stress-ng
00:08:34        0    240816      0,00   8379,41  stress-ng
00:08:34        0    240817      0,00  20605,88  stress-ng
00:08:34        0    240818      0,00  28676,47  stress-ng
00:08:34        0    240819      0,00  23874,51  stress-ng
00:08:34        0    240820      0,00  27834,31  stress-ng

00:08:34      UID       PID   cswch/s nvcswch/s  Command
00:08:35        0    240803      7,00      0,00  stress-ng
00:08:35        0    240804      7,00      0,00  stress-ng
00:08:35        0    240805      0,00   8425,00  stress-ng
00:08:35        0    240806      0,00  14041,00  stress-ng
00:08:35        0    240807      0,00  14650,00  stress-ng
00:08:35        0    240808      0,00  18721,00  stress-ng
00:08:35        0    240809      0,00   6106,00  stress-ng
00:08:35        0    240810      0,00   1000,00  stress-ng
00:08:35        0    240811      0,00   3648,00  stress-ng
00:08:35        0    240812      0,00  16758,00  stress-ng
00:08:35        0    240813      0,00  25658,00  stress-ng
00:08:35        0    240814      0,00  10990,00  stress-ng
00:08:35        0    240815      0,00  15693,00  stress-ng
00:08:35        0    240816      0,00  18677,00  stress-ng
00:08:35        0    240817      0,00  11412,00  stress-ng
00:08:35        0    240818      0,00  19600,00  stress-ng
00:08:35        0    240819      0,00  23762,00  stress-ng
00:08:35        0    240820      0,00  10956,00  stress-ng

00:08:35      UID       PID   cswch/s nvcswch/s  Command
00:08:36        0    240803      9,90      0,00  stress-ng
00:08:36        0    240804      9,90      0,00  stress-ng
00:08:36        0    240805      0,00  19606,93  stress-ng
00:08:36        0    240806      0,00  25266,34  stress-ng
00:08:36        0    240807      0,00  24392,08  stress-ng
00:08:36        0    240808      0,00  23257,43  stress-ng
00:08:36        0    240809      0,00  18331,68  stress-ng
00:08:36        0    240810      0,00   9811,88  stress-ng
00:08:36        0    240811      0,00   9744,55  stress-ng
00:08:36        0    240812      0,00  14985,15  stress-ng
00:08:36        0    240813      0,00   7534,65  stress-ng
00:08:36        0    240814      0,00  15678,22  stress-ng
00:08:36        0    240815      0,00  21763,37  stress-ng
00:08:36        0    240816      0,00  19640,59  stress-ng
00:08:36        0    240817      0,00  18056,44  stress-ng
00:08:36        0    240818      0,00  24959,41  stress-ng
00:08:36        0    240819      0,00  15462,38  stress-ng
00:08:36        0    240820      0,00   5903,96  stress-ng

00:08:36      UID       PID   cswch/s nvcswch/s  Command
00:08:37        0    240803      7,62      0,00  stress-ng
00:08:37        0    240804      7,62      0,00  stress-ng
00:08:37        0    240805      0,00  19654,29  stress-ng
00:08:37        0    240806      0,00  15292,38  stress-ng
00:08:37        0    240807      0,00  21371,43  stress-ng
00:08:37        0    240808      0,00    113,33  stress-ng
00:08:37        0    240809      0,00   1916,19  stress-ng
00:08:37        0    240810      0,00  10926,67  stress-ng
00:08:37        0    240811      0,00  12953,33  stress-ng
00:08:37        0    240812      0,00   7402,86  stress-ng
00:08:37        0    240813      0,00  12164,76  stress-ng
00:08:37        0    240814      0,00  14359,05  stress-ng
