Linux 6.2.0-36-generic (alexey-ubuntu) 	19.11.2023 	_x86_64_	(8 CPU)

23:26:39      UID       PID prio policy  Command
23:28:45        0    233911    0 DEADLN  stress-ng
23:28:46        0    233911    0 DEADLN  stress-ng
23:28:47        0    233911    0 DEADLN  stress-ng
23:28:48        0    233911    0 DEADLN  stress-ng
23:28:49        0    233911    0 DEADLN  stress-ng
23:28:50        0    233911    0 DEADLN  stress-ng
23:28:51        0    233911    0 DEADLN  stress-ng
23:28:52        0    233911    0 DEADLN  stress-ng
23:28:53        0    233911    0 DEADLN  stress-ng
23:28:54        0    233911    0 DEADLN  stress-ng
23:28:55        0    233911    0 DEADLN  stress-ng
23:28:56        0    233911    0 DEADLN  stress-ng
23:28:57        0    233911    0 DEADLN  stress-ng
23:28:58        0    233911    0 DEADLN  stress-ng
23:28:59        0    233911    0 DEADLN  stress-ng
23:29:00        0    233911    0 DEADLN  stress-ng
23:29:01        0    233911    0 DEADLN  stress-ng
23:29:02        0    233911    0 DEADLN  stress-ng
23:29:03        0    233911    0 DEADLN  stress-ng
23:29:04        0    233911    0 DEADLN  stress-ng
23:29:05        0    233911    0 DEADLN  stress-ng
23:29:06        0    233911    0 DEADLN  stress-ng
23:29:07        0    233911    0 DEADLN  stress-ng
23:29:08        0    233911    0 DEADLN  stress-ng
23:29:09        0    233911    0 DEADLN  stress-ng
23:29:10        0    233911    0 DEADLN  stress-ng
23:29:11        0    233911    0 DEADLN  stress-ng
23:29:12        0    233911    0 DEADLN  stress-ng
23:29:13        0    233911    0 DEADLN  stress-ng
23:29:14        0    233911    0 DEADLN  stress-ng
23:29:15        0    233911    0 DEADLN  stress-ng
23:29:16        0    233911    0 DEADLN  stress-ng
23:29:17        0    233911    0 DEADLN  stress-ng
23:29:18        0    233911    0 DEADLN  stress-ng
23:29:19        0    233911    0 DEADLN  stress-ng
23:29:20        0    233911    0 DEADLN  stress-ng
23:29:21        0    233911    0 DEADLN  stress-ng
23:29:22        0    233911    0 DEADLN  stress-ng
23:29:23        0    233911    0 DEADLN  stress-ng
23:29:24        0    233911    0 DEADLN  stress-ng
23:29:25        0    233911    0 DEADLN  stress-ng
23:29:26        0    233911    0 DEADLN  stress-ng
23:29:27        0    233911    0 DEADLN  stress-ng
23:29:28        0    233911    0 DEADLN  stress-ng
23:29:29        0    233911    0 DEADLN  stress-ng
23:29:30        0    233911    0 DEADLN  stress-ng
23:29:31        0    233911    0 DEADLN  stress-ng
23:29:32        0    233911    0 DEADLN  stress-ng
23:29:33        0    233911    0 DEADLN  stress-ng
23:29:34        0    233911    0   IDLE  stress-ng
23:29:35        0    233911    0 DEADLN  stress-ng
23:29:36        0    233911    0 DEADLN  stress-ng
23:29:37        0    233911    0 DEADLN  stress-ng
23:29:38        0    233911    0 DEADLN  stress-ng
23:29:39        0    233911    0 DEADLN  stress-ng
23:29:40        0    233911    0 DEADLN  stress-ng
23:29:41        0    233911    0 DEADLN  stress-ng
23:29:42        0    233911    0 DEADLN  stress-ng
23:29:43        0    233911    0 DEADLN  stress-ng
23:29:44        0    233911    0 DEADLN  stress-ng
23:29:45        0    233911    0 DEADLN  stress-ng
23:29:46        0    233911    0 DEADLN  stress-ng
23:29:47        0    233911    0 DEADLN  stress-ng
23:29:48        0    233911    0 DEADLN  stress-ng
23:29:49        0    233911    0 DEADLN  stress-ng
23:29:50        0    233911    0 DEADLN  stress-ng
23:29:51        0    233911    0 DEADLN  stress-ng
23:29:52        0    233911    0 DEADLN  stress-ng
23:29:53        0    233911    0 DEADLN  stress-ng
23:29:54        0    233911    0 DEADLN  stress-ng
23:29:55        0    233911    0 DEADLN  stress-ng
23:29:56        0    233911    0 DEADLN  stress-ng
23:29:57        0    233911    0 DEADLN  stress-ng
23:29:58        0    233911    0 DEADLN  stress-ng
23:29:59        0    233911    0 DEADLN  stress-ng
23:30:00        0    233911    0 DEADLN  stress-ng
23:30:01        0    233911    0 DEADLN  stress-ng
23:30:02        0    233911    0 DEADLN  stress-ng
23:30:03        0    233911    0 DEADLN  stress-ng
23:30:04        0    233911    0 DEADLN  stress-ng
23:30:05        0    233911    0 DEADLN  stress-ng
23:30:06        0    233911    0 DEADLN  stress-ng
23:30:07        0    233911    0 DEADLN  stress-ng
23:30:08        0    233911    0   IDLE  stress-ng
23:30:09        0    233911    0 DEADLN  stress-ng
23:30:10        0    233911    0 DEADLN  stress-ng
23:30:11        0    233911    0 DEADLN  stress-ng
23:30:12        0    233911    0 DEADLN  stress-ng
23:30:13        0    233911    0 DEADLN  stress-ng
23:30:14        0    233911    0 DEADLN  stress-ng
23:30:15        0    233911    0 DEADLN  stress-ng
23:30:16        0    233911    0 DEADLN  stress-ng
23:30:17        0    233911    0 DEADLN  stress-ng
23:30:18        0    233911    0 DEADLN  stress-ng
