netdev;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_user+sys;CPU_used_per
112;8323858;30.02;73.87;165.28;277309.39;34806.01;7.11
113;8413491;30.02;74.81;163.62;280291.62;35287.05;7.03
114;8619356;30.02;77.10;162.89;287165.47;35915.48;7.01
115;8597599;30.02;77.08;163.82;286424.86;35689.49;6.98
116;8407600;30.02;75.21;162.64;280108.26;35348.33;6.83
117;8489629;30.01;76.59;162.06;282847.75;35573.56;6.80
118;8465558;30.01;74.97;164.35;282062.92;35373.38;6.76
119;8754256;30.02;78.01;161.65;291638.06;36527.81;6.71
120;8169191;30.02;73.48;165.74;272156.69;34149.28;6.64
121;8552548;30.02;76.03;163.51;284910.52;35704.05;6.59
122;8031295;30.02;74.20;163.62;267503.87;33770.48;6.49
123;8653421;30.01;77.09;161.58;288314.54;36256.84;6.47
124;7786047;30.01;70.88;167.53;259414.94;32658.22;6.41
