pipe;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_user+sys;CPU_used_per
2580000;2580000;1.82;3.61;7.86;1416172.54;224934.61;157.40
2590000;2590000;1.83;3.55;7.99;1414363.88;224436.74;157.55
2600000;2600000;1.86;3.52;8.16;1399981.44;222602.74;157.23
2610000;2610000;1.84;3.63;8.07;1418642.34;223076.92;158.99
2620000;2620000;1.98;3.71;8.38;1323196.18;216708.02;152.65
2630000;2630000;2.08;3.65;8.98;1266408.89;208234.36;152.04
2640000;2640000;2.19;3.26;9.28;1205292.60;210526.32;143.13
2650000;2650000;2.06;3.66;8.67;1287632.28;214922.95;149.78
2660000;2660000;2.19;3.64;9.04;1214237.08;209779.18;144.70
2670000;2670000;2.09;3.87;8.84;1276735.55;210070.81;151.94
2680000;2680000;2.13;3.45;9.03;1260071.02;214743.59;146.69
2690000;2690000;1.89;3.78;8.28;1419833.72;223051.41;159.14
2700000;2700000;1.86;4.01;8.03;1450564.35;224252.49;161.71
2710000;2710000;1.90;3.81;8.37;1426040.95;222495.89;160.23
2720000;2720000;1.87;3.78;8.30;1452973.80;225165.56;161.32
2730000;2730000;1.88;3.94;8.21;1455127.31;224691.36;161.90
2740000;2740000;1.90;3.93;8.26;1443350.91;224774.41;160.53
2750000;2750000;1.89;3.79;8.38;1452430.33;225965.49;160.69
2760000;2760000;1.98;3.96;8.44;1395236.30;222580.65;156.71
2770000;2770000;1.98;3.88;8.64;1397868.57;221246.01;157.95
2780000;2780000;2.08;3.60;9.06;1339088.97;219589.26;152.45
2790000;2790000;2.27;3.64;9.48;1226440.22;212652.44;144.18
2800000;2800000;2.11;4.06;9.06;1325645.72;213414.63;155.29
2810000;2810000;1.96;4.14;8.36;1435946.22;224800.00;159.69
2820000;2820000;1.95;3.93;8.76;1444887.91;222222.22;162.55
2830000;2830000;1.94;4.12;8.42;1455747.97;225677.83;161.26
2840000;2840000;1.99;4.05;8.79;1426275.25;221183.80;161.21
2850000;2850000;2.66;4.26;10.08;1070739.63;198744.77;134.69
2860000;2860000;2.00;4.11;8.72;1429419.15;222915.04;160.31
2870000;2870000;2.07;4.09;8.86;1383286.83;221621.62;156.04
2880000;2880000;1.95;4.07;8.57;1474490.30;227848.10;161.78
2890000;2890000;2.09;4.22;9.03;1382698.91;218113.21;158.48
2900000;2900000;2.16;4.05;9.28;1341934.95;217554.39;154.21
2910000;2910000;2.34;4.20;9.74;1243713.50;208751.79;148.95
2920000;2920000;2.36;3.68;10.08;1239505.22;212209.30;146.02
2930000;2930000;2.27;3.62;10.08;1288059.00;213868.61;150.57
2940000;2940000;2.19;3.94;9.54;1343249.36;218100.89;153.97
2950000;2950000;2.02;4.20;8.80;1460497.11;226923.08;160.90
2960000;2960000;2.17;4.11;9.36;1363694.57;219747.59;155.14
2970000;2970000;2.12;4.03;9.18;1401536.71;224829.67;155.84
2980000;2980000;2.07;3.92;9.33;1436550.92;224905.66;159.68
2990000;2990000;2.05;4.43;8.84;1460440.15;225320.27;162.04
3000000;3000000;2.07;4.30;9.09;1451195.20;224047.80;161.93
3010000;3010000;2.16;4.05;9.43;1392332.94;223293.77;155.89
3020000;3020000;2.10;4.16;9.33;1436490.10;223869.53;160.42
3030000;3030000;2.08;4.41;8.99;1457075.13;226119.40;161.10
