pipe;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_user+sys;CPU_used_per
5470000;5470000;4.04;7.72;17.32;1352834.69;218450.48;154.82
5480000;5480000;3.91;7.55;17.23;1401502.62;221146.09;158.44
5490000;5490000;4.31;7.17;18.36;1272901.66;215041.13;147.98
5500000;5500000;3.89;7.91;16.98;1415300.32;220972.28;160.12
5510000;5510000;3.91;7.37;17.55;1408328.03;221107.54;159.24
5520000;5520000;3.84;7.46;17.33;1435727.47;222670.43;161.19
5530000;5530000;3.92;7.70;17.48;1408978.02;219618.75;160.39
5540000;5540000;3.94;7.88;17.24;1406025.71;220541.40;159.38
5550000;5550000;4.08;8.01;17.38;1358827.96;218590.00;155.41
5560000;5560000;4.63;7.26;19.44;1200264.24;208239.70;144.10
5570000;5570000;4.13;7.91;18.04;1347355.27;214643.55;156.93
5580000;5580000;3.92;7.74;17.38;1422895.87;222133.76;160.14
5590000;5590000;3.86;7.69;17.28;1448165.79;223868.64;161.72
5600000;5600000;3.86;7.78;17.19;1450187.07;224269.12;161.66
5610000;5610000;3.89;7.91;17.24;1443462.55;223061.63;161.78
5620000;5620000;4.03;8.02;17.56;1396045.64;219702.89;158.86
5630000;5630000;4.53;7.35;18.87;1244188.71;214721.59;144.86
5640000;5640000;4.28;7.47;18.66;1318240.63;215843.86;152.68
5650000;5650000;3.90;8.07;17.39;1450182.94;221916.73;163.37
5660000;5660000;3.99;7.93;17.50;1419821.70;222571.77;159.48
5670000;5670000;4.44;8.05;19.13;1276585.46;208609.27;152.99
5680000;5680000;3.98;8.20;17.36;1426377.15;222222.22;160.47
5690000;5690000;4.14;8.18;17.87;1374376.23;218426.10;157.30
5700000;5700000;4.33;7.43;19.14;1316556.72;214527.66;153.43
5710000;5710000;4.30;7.73;18.57;1328989.24;217110.27;153.03
5720000;5720000;3.98;8.10;17.63;1437335.98;222308.59;161.64
5730000;5730000;4.06;8.02;17.81;1409778.78;221835.08;158.88
5740000;5740000;3.98;7.64;17.94;1443898.01;224394.06;160.87
5750000;5750000;3.95;8.48;17.17;1455735.20;224171.54;162.35
5760000;5760000;4.32;8.29;18.36;1331810.54;216135.08;154.05
5770000;5770000;4.65;7.97;19.68;1241887.86;208679.93;148.78
5780000;5780000;4.72;7.76;19.47;1225417.39;212265.88;144.33
5790000;5790000;4.13;8.29;17.98;1402571.60;220403.50;159.09
5800000;5800000;4.00;8.32;17.54;1448929.77;224284.61;161.51
5810000;5810000;4.08;8.25;18.11;1423351.20;220409.71;161.44
5820000;5820000;4.03;8.18;17.79;1445284.79;224104.74;161.23
5830000;5830000;4.09;8.32;17.75;1424505.26;223628.69;159.25
5840000;5840000;4.24;8.02;18.60;1378069.13;219383.92;157.04
5850000;5850000;4.62;7.74;19.91;1266497.27;211573.24;149.65
5860000;5860000;4.15;8.22;18.33;1412698.86;220715.63;160.01
5870000;5870000;4.22;8.30;18.57;1390741.09;218459.25;159.15
5880000;5880000;4.09;8.34;18.04;1439093.39;222896.13;161.41
5890000;5890000;4.12;7.98;18.45;1430474.79;222852.82;160.47
5900000;5900000;4.15;8.44;18.21;1420602.35;221388.37;160.42
5910000;5910000;4.49;8.09;19.20;1315345.97;216562.84;151.84
5920000;5920000;4.63;8.20;19.59;1277880.09;213026.27;149.97
5930000;5930000;4.13;8.08;18.56;1436655.26;222597.60;161.35
5940000;5940000;4.26;8.47;18.48;1394093.59;220408.16;158.13
5950000;5950000;4.23;8.53;18.42;1407059.89;220779.22;159.33
5960000;5960000;4.21;8.37;18.55;1416279.21;221396.73;159.93
5970000;5970000;4.36;8.18;19.15;1369156.29;218441.27;156.70
5980000;5980000;4.96;7.90;20.78;1206247.30;208507.67;144.63
5990000;5990000;4.46;8.50;19.06;1344260.75;217343.98;154.62
6000000;6000000;4.21;8.39;18.72;1423559.40;221320.55;160.80
6010000;6010000;4.23;8.44;18.73;1419441.13;221199.85;160.43
6020000;6020000;4.25;8.63;18.55;1417556.85;221486.39;160.00
6030000;6030000;4.37;8.61;18.86;1378887.43;219512.20;157.04
6040000;6040000;4.24;8.63;18.67;1423741.97;221245.42;160.88
6050000;6050000;4.87;7.85;20.61;1242228.94;212579.06;146.09
6060000;6060000;4.52;8.65;19.28;1341467.20;216971.00;154.57
6070000;6070000;4.30;8.43;19.02;1412578.99;221129.33;159.70
6080000;6080000;4.42;8.66;19.25;1374215.95;217843.07;157.71
6090000;6090000;4.46;8.72;19.28;1364505.10;217500.00;156.84
6100000;6100000;4.53;8.26;19.99;1345706.31;215929.20;155.80
6110000;6110000;4.67;8.48;19.92;1307246.32;215140.85;151.91
6120000;6120000;4.66;8.47;19.96;1314058.49;215265.56;152.61
6130000;6130000;4.41;8.43;19.60;1389010.28;218694.26;158.78
6140000;6140000;4.96;8.64;20.73;1237515.94;209056.86;147.99
6150000;6150000;4.98;8.68;20.93;1233887.11;207700.10;148.52
6160000;6160000;4.46;8.50;19.63;1379781.12;218983.29;157.52
6170000;6170000;4.57;8.56;19.62;1351388.70;218949.61;154.30
6180000;6180000;5.19;8.20;21.78;1190894.19;206137.42;144.43
6190000;6190000;5.57;8.48;22.85;1111943.57;197574.21;140.70
6200000;6200000;5.22;8.75;22.09;1187815.75;201037.61;147.71
6210000;6210000;5.21;8.56;22.23;1191367.99;201688.86;147.67
6220000;6220000;5.23;8.53;22.06;1190406.06;203334.42;146.36
6230000;6230000;5.84;8.23;23.90;1066282.02;193899.78;137.48
6240000;6240000;5.61;8.26;23.23;1112867.27;198158.15;140.40
6250000;6250000;5.27;8.36;22.98;1184884.01;199425.65;148.54
6260000;6260000;5.55;8.42;23.35;1128319.53;197041.23;143.16
6270000;6270000;6.19;8.11;24.78;1012468.88;190635.45;132.78
6280000;6280000;6.26;8.30;24.76;1002526.99;189957.65;131.94
6290000;6290000;5.70;8.26;23.29;1103897.86;199366.09;138.43
6300000;6300000;5.23;8.53;22.53;1205185.04;202833.23;148.54
6310000;6310000;5.26;8.59;22.45;1198498.76;203286.08;147.39
6320000;6320000;4.47;8.90;19.64;1414155.24;221443.59;159.65
6330000;6330000;4.53;8.90;19.81;1396832.89;220480.67;158.38
6340000;6340000;5.11;8.61;21.90;1240590.37;207800.72;149.25
6350000;6350000;4.63;9.07;20.11;1370497.62;217614.80;157.45
6360000;6360000;4.49;8.84;19.89;1417890.76;221371.39;160.13
6370000;6370000;4.59;8.62;20.05;1387584.91;222183.47;156.13
6380000;6380000;4.55;8.75;20.16;1403619.67;220684.88;159.01
6390000;6390000;4.56;8.96;19.83;1402556.50;221952.07;157.98
6400000;6400000;5.09;8.72;21.44;1256876.67;212201.59;148.08
6410000;6410000;5.72;8.47;23.14;1121196.81;202783.93;138.23
6420000;6420000;5.07;8.65;21.69;1265952.88;211601.85;149.57
6430000;6430000;4.74;9.11;20.44;1357873.54;217597.29;156.01
6440000;6440000;4.59;8.70;20.36;1402471.70;221610.46;158.21
6450000;6450000;4.68;9.31;20.17;1376745.20;218792.40;157.31
6460000;6460000;5.05;8.39;21.63;1278234.12;215189.87;148.50
6470000;6470000;4.90;8.75;21.23;1320389.49;215810.54;152.96
6480000;6480000;4.66;8.98;20.52;1391748.15;219661.02;158.40
6490000;6490000;4.75;9.21;20.28;1367531.40;220074.60;155.35
6500000;6500000;4.73;9.11;20.68;1373216.90;218194.02;157.34
6510000;6510000;4.79;8.73;21.07;1358203.40;218456.38;155.43
6520000;6520000;5.05;8.90;21.34;1291030.49;215608.47;149.70
6530000;6530000;5.17;9.02;21.82;1262853.12;211738.00;149.11
6540000;6540000;4.63;9.32;20.14;1413718.91;221995.93;159.21
6550000;6550000;4.94;8.89;20.98;1324583.53;219283.56;151.01
6560000;6560000;4.77;9.16;20.44;1376035.23;221621.62;155.22
6570000;6570000;4.77;9.21;20.77;1377834.05;219146.10;157.18
6580000;6580000;5.03;9.07;21.25;1309138.82;217018.47;150.81
6590000;6590000;5.77;8.83;23.48;1142509.36;203961.62;140.04
6600000;6600000;4.76;9.12;20.91;1385548.73;219780.22;157.61
6610000;6610000;4.66;9.33;20.31;1418034.46;223009.45;158.97
6620000;6620000;4.78;9.30;20.87;1383587.51;219423.27;157.64
6630000;6630000;4.97;9.35;21.09;1332888.78;217805.52;152.99
6640000;6640000;5.21;8.56;22.39;1274541.46;214539.58;148.52
6650000;6650000;5.29;9.16;21.97;1256517.05;213620.30;147.05
6660000;6660000;4.83;9.10;21.12;1377759.37;220383.85;156.29
6670000;6670000;4.76;9.23;20.87;1401967.96;221594.68;158.17
6680000;6680000;5.07;9.04;22.03;1318178.10;214998.39;153.28
6690000;6690000;5.16;9.04;22.12;1295823.54;214698.33;150.89
6700000;6700000;5.33;8.92;22.39;1255971.53;213989.14;146.73
6710000;6710000;5.04;9.22;21.80;1330917.58;216312.06;153.82
6720000;6720000;5.07;9.29;22.11;1324649.27;214012.74;154.74
6730000;6730000;4.77;9.60;20.75;1409663.66;221746.29;158.93
6740000;6740000;4.88;9.38;21.30;1380031.52;219687.09;157.05
6750000;6750000;4.92;9.30;21.36;1372128.30;220156.56;155.81
6760000;6760000;5.40;8.99;22.71;1250913.43;213249.21;146.65
6770000;6770000;5.03;9.27;21.85;1346793.32;217544.99;154.77
6780000;6780000;4.92;9.29;21.57;1378122.87;219701.88;156.82
6790000;6790000;4.99;9.56;21.33;1360845.68;219812.24;154.77
6800000;6800000;5.08;9.19;22.06;1338793.38;217600.00;153.81
6810000;6810000;5.08;9.22;22.10;1340574.94;217432.95;154.14
6820000;6820000;4.95;9.47;21.50;1377951.35;220213.11;156.43
6830000;6830000;4.85;9.30;21.42;1407146.02;222330.73;158.23
6840000;6840000;4.88;9.40;21.45;1402726.11;221717.99;158.17
6850000;6850000;4.95;9.42;21.75;1384729.28;219762.59;157.53
6860000;6860000;5.41;9.16;22.99;1268476.46;213374.81;148.62
6870000;6870000;5.33;9.18;22.67;1289305.60;215698.59;149.43
6880000;6880000;4.95;9.32;22.01;1389235.50;219597.83;158.16
6890000;6890000;4.98;9.37;21.88;1383266.52;220480.00;156.85
6900000;6900000;4.99;9.63;21.86;1383475.90;219117.18;157.85
6910000;6910000;5.00;9.75;21.64;1381318.02;220133.80;156.87
6920000;6920000;5.62;9.09;24.01;1232266.04;209063.44;147.36
6930000;6930000;5.42;9.42;23.05;1278967.83;213427.78;149.81
6940000;6940000;5.02;9.42;22.18;1383387.23;219620.25;157.47
6950000;6950000;5.04;9.40;22.27;1379341.89;219450.58;157.14
6960000;6960000;4.97;9.80;21.73;1400648.29;220742.15;158.63
6970000;6970000;5.03;9.89;21.63;1387051.21;221129.44;156.81
6980000;6980000;5.73;9.20;23.71;1217638.32;212093.59;143.53
6990000;6990000;5.01;10.18;21.49;1396448.80;220713.61;158.17
7000000;7000000;4.99;9.98;21.74;1401532.49;220680.96;158.77
7010000;7010000;5.00;9.93;21.80;1402909.02;220926.57;158.75
7020000;7020000;4.99;9.83;21.83;1406315.34;221730.89;158.56
7030000;7030000;5.45;9.14;23.54;1289199.72;215116.28;149.83
7040000;7040000;5.82;9.29;24.33;1210005.47;209399.17;144.46
7050000;7050000;5.32;9.70;22.63;1325333.52;218063.72;151.94
7060000;7060000;5.07;9.97;22.05;1392351.29;220487.20;157.87
7070000;7070000;5.25;9.49;23.03;1347168.41;217404.67;154.91
7080000;7080000;5.09;9.62;22.58;1390764.45;219875.78;158.13
7090000;7090000;5.74;9.22;24.07;1235450.95;212976.87;145.02
7100000;7100000;5.26;9.76;22.79;1349402.44;218125.96;154.66
7110000;7110000;5.08;9.80;22.44;1399108.96;220533.50;158.61
7120000;7120000;5.10;10.02;22.17;1396035.47;221186.70;157.79
7130000;7130000;5.05;9.98;22.05;1412810.61;222603.81;158.67
7140000;7140000;5.41;9.83;22.98;1319342.88;217616.58;151.57
7150000;7150000;5.90;9.63;24.30;1212879.21;210727.97;143.89
7160000;7160000;5.44;9.70;23.63;1315043.51;214821.48;153.04
7170000;7170000;5.29;9.97;22.71;1356576.52;219400.24;154.58
7180000;7180000;5.21;9.79;23.02;1376874.19;218835.72;157.30
7190000;7190000;5.29;9.75;23.27;1359710.21;217746.82;156.11
7200000;7200000;5.99;9.51;24.79;1202670.51;209912.54;143.23
7210000;7210000;5.26;10.00;22.81;1370872.87;219750.08;155.96
7220000;7220000;5.25;9.80;22.93;1374741.60;220592.73;155.80
7230000;7230000;5.23;10.27;22.57;1383582.65;220158.34;157.11
7240000;7240000;5.78;10.11;24.53;1251945.63;209006.93;149.75
7250000;7250000;5.45;9.94;23.34;1331223.58;217848.56;152.77
7260000;7260000;5.72;9.73;24.15;1268373.83;214285.71;147.98
7270000;7270000;5.25;9.96;22.96;1384094.77;220838.40;156.69
7280000;7280000;5.37;9.91;23.37;1356070.57;218750.00;154.98
7290000;7290000;5.26;10.28;22.90;1386997.43;219710.67;157.82
7300000;7300000;5.28;10.40;22.76;1383136.27;220144.75;157.07
7310000;7310000;5.88;9.27;24.95;1243312.73;213617.77;145.51
7320000;7320000;5.37;10.18;23.16;1363468.66;219556.09;155.25
7330000;7330000;5.30;10.43;22.89;1382845.62;219988.00;157.15
7340000;7340000;5.28;10.17;22.94;1391403.18;221685.29;156.91
7350000;7350000;5.38;10.13;23.49;1366920.21;218619.87;156.31
7360000;7360000;5.82;9.93;24.54;1264911.69;213519.00;148.10
7370000;7370000;5.90;9.80;24.97;1248463.09;211964.34;147.25
7380000;7380000;5.26;10.21;23.05;1404307.31;221888.15;158.22
7390000;7390000;5.58;10.06;24.21;1324450.02;215640.50;153.55
7400000;7400000;5.43;10.18;23.63;1362868.47;218870.16;155.67
7410000;7410000;5.46;10.15;23.83;1356038.34;218069.45;155.46
7420000;7420000;6.03;9.88;24.94;1231123.08;213095.92;144.43
7430000;7430000;5.25;10.32;23.01;1416043.09;222922.29;158.80
7440000;7440000;10.96;11.03;37.80;678830.28;152365.35;111.38
7450000;7450000;5.96;10.36;24.85;1249436.70;211587.62;147.63
7460000;7460000;6.29;9.90;25.94;1185320.01;208147.32;142.37
7470000;7470000;5.15;10.13;23.11;1451003.91;224729.24;161.42
7480000;7480000;5.36;9.95;23.86;1394600.74;221236.32;157.59
7490000;7490000;5.24;10.58;23.02;1429548.72;222916.67;160.32
7500000;7500000;5.21;10.81;22.74;1440762.26;223546.94;161.13
