pipe_data_size;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_user+sys;CPU_used_per
1508;13233556;10.00;18.14;43.13;1323277.73;215987.53;153.17
1524;13844116;10.00;19.49;43.84;1384342.48;218602.81;158.32
1540;13341580;10.10;19.21;42.81;1321449.17;215117.38;153.57
1556;13743522;10.00;19.59;43.22;1373747.73;218811.05;156.96
1572;13747216;10.01;19.01;43.97;1373116.93;218279.07;157.27
1588;13569369;10.00;19.18;42.86;1356701.05;218719.68;155.07
1604;13910273;10.00;19.72;44.08;1390936.87;218029.36;159.49
1620;14208030;10.00;20.21;44.15;1420735.09;220758.70;160.89
1636;13572649;10.00;18.57;43.70;1357187.65;217964.49;155.67
1652;14039631;10.00;19.88;43.82;1403581.74;220402.37;159.21
1668;14415915;10.00;20.60;44.04;1441521.45;223018.49;161.59
1684;13672472;10.00;18.67;44.00;1367184.41;218166.14;156.67
1700;13981116;10.00;19.73;44.01;1398034.46;219346.03;159.34
1716;14432251;10.00;20.55;44.27;1443146.26;222651.20;162.04
1732;13635230;10.00;18.80;43.76;1363456.38;217954.44;156.39
1748;14167780;10.00;20.40;43.98;1416708.24;220064.93;160.94
1764;13996393;10.00;19.66;44.28;1399569.60;218898.86;159.84
1780;13091154;10.00;18.03;43.16;1309042.52;213942.70;152.97
1796;9058806;10.00;12.96;36.82;905729.61;181976.82;124.43
1812;9749060;10.00;13.41;38.61;974862.97;187409.84;130.04
1828;9783295;10.07;14.70;36.85;971765.27;189782.64;128.01
1844;10022870;10.00;14.03;38.92;1002261.68;189289.33;132.37
1860;12929906;10.00;18.50;42.53;1292941.02;211861.48;152.57
1876;14115465;10.00;19.89;44.07;1411055.43;220692.07;159.84
1892;13304585;10.00;18.13;43.42;1330384.40;216158.98;153.87
1908;13980878;10.00;20.01;43.69;1397996.52;219480.03;159.24
1924;14201420;10.00;20.67;43.75;1420039.73;220450.48;161.04
1940;13173812;10.00;18.11;43.32;1317228.03;214452.42;153.56
1956;14025423;10.00;20.10;43.83;1402422.81;219387.19;159.81
1972;13781026;10.00;19.34;44.08;1378036.00;217297.79;158.54
1988;12977604;10.00;17.77;42.78;1297652.63;214328.72;151.36
2004;13679511;10.00;18.88;43.89;1367875.94;217930.72;156.92
2020;14455475;10.00;20.33;44.46;1445467.43;223112.75;161.97
2036;13253918;10.00;18.57;42.83;1325311.95;215861.86;153.49
2052;14146882;10.00;20.10;44.03;1414600.85;220596.94;160.32
2068;13449722;10.06;18.37;44.05;1336337.49;215471.36;155.05
2084;12825240;10.00;17.80;42.55;1282457.92;212514.33;150.87
2100;13491352;10.00;19.23;42.97;1349001.21;216902.77;155.48
2116;14413580;10.00;20.57;44.35;1441291.73;222020.64;162.29
2132;13210716;10.00;17.79;43.53;1320993.24;215438.94;153.29
2148;14180193;10.00;19.71;44.58;1417880.24;220566.08;160.71
2164;12895679;10.00;18.79;42.24;1289482.89;211300.66;152.56
2180;12523452;10.00;17.12;42.13;1252217.81;211366.28;148.11
2196;14109863;10.00;19.94;44.16;1410939.52;220122.67;160.24
2212;14354004;10.00;19.96;44.57;1435327.28;222439.24;161.32
2228;13310265;10.00;18.12;43.31;1330971.24;216673.69;153.57
2244;14275226;10.00;20.45;44.12;1427437.48;221081.40;161.42
2260;13980982;10.00;19.60;43.93;1398020.89;220068.98;158.82
2276;12476734;10.00;16.42;42.79;1247601.10;210720.05;148.02
2292;13761144;10.00;19.46;43.92;1376041.78;217121.24;158.44
2308;13458655;10.00;19.22;43.00;1345724.06;216307.54;155.53
2324;12749821;10.00;17.22;42.86;1274905.52;212214.06;150.19
2340;14011585;10.00;19.94;43.61;1401092.19;220481.27;158.87
2356;14116186;10.00;19.91;44.02;1411501.16;220806.91;159.81
2372;13201723;10.00;18.14;43.26;1320105.07;215011.78;153.49
2388;14136123;10.00;20.02;44.05;1413498.97;220635.60;160.16
2404;14425588;10.00;20.20;44.51;1442487.87;222926.72;161.77
2420;13042960;10.00;18.48;42.50;1304242.13;213889.14;152.44
2436;14321011;10.00;20.71;43.78;1431999.53;222065.61;161.21
2452;13986143;10.00;19.90;43.75;1398481.69;219735.16;159.11
2468;12957653;10.00;17.54;43.23;1295675.64;213224.50;151.91
2484;14284919;10.00;20.36;43.97;1428354.57;222056.88;160.81
2500;14143703;10.00;19.53;44.45;1414316.10;221064.44;159.94
2516;12755754;10.00;17.59;42.41;1275492.65;212595.90;149.99
2532;14153764;10.00;20.46;43.58;1415294.69;221014.43;160.09
2548;14269194;10.00;20.30;43.96;1426855.79;222054.06;160.64
2564;12976256;10.00;17.58;42.65;1297563.09;215445.06;150.57
2580;14174823;10.00;19.64;44.64;1417379.60;220516.85;160.69
2596;14173879;10.00;19.85;44.34;1417325.36;220811.33;160.47
2612;13136743;10.00;17.93;43.09;1313583.76;215285.86;152.54
2628;14297034;10.00;20.50;43.93;1429637.57;221900.26;161.07
2644;14181541;10.00;19.78;44.23;1418074.01;221551.96;160.02
2660;12958056;10.00;17.53;42.72;1295739.56;215071.47;150.62
2676;14479011;10.00;20.54;44.31;1447789.74;223269.25;162.11
2692;14293268;10.00;19.89;44.34;1429248.87;222532.59;160.57
2708;13178449;10.00;18.07;43.17;1317765.81;215193.48;153.09
2724;14141775;10.00;19.70;44.66;1414067.23;219729.26;160.89
2740;13891889;10.00;19.70;43.66;1389084.30;219253.30;158.39
2756;12158644;10.00;16.09;42.58;1215805.04;207237.84;146.67
2772;13839650;10.00;19.29;43.72;1383456.41;219642.12;157.47
2788;13396091;10.00;18.47;43.21;1339516.20;217186.95;154.19
2804;12808112;10.00;16.49;43.19;1280758.41;214613.14;149.19
2820;13950724;10.00;19.61;43.85;1394982.33;219834.92;158.64
2836;13771989;10.00;19.41;43.37;1377111.44;219369.05;156.94
2852;12544670;10.00;16.86;42.42;1254385.34;211617.24;148.19
2868;13837385;10.00;18.98;44.02;1383416.45;219641.03;157.46
2884;13660722;10.00;19.29;43.12;1365927.78;218886.75;156.01
2900;12820706;10.00;17.23;42.41;1281987.39;214968.24;149.09
2916;13759949;10.00;19.56;43.42;1375890.26;218481.25;157.44
2932;13647494;10.00;19.39;43.05;1364678.71;218569.73;156.09
2948;12511119;10.00;16.94;42.15;1251057.67;211729.89;147.72
2964;13736427;10.00;18.62;44.31;1373555.30;218281.06;157.31
2980;13799481;10.00;19.51;43.44;1379871.55;219213.36;157.37
2996;12666587;10.00;17.25;42.13;1266593.12;213314.03;148.44
3012;14063681;10.00;19.30;44.33;1406305.66;221022.80;159.07
3028;13705899;10.00;18.77;43.80;1370526.44;219049.05;156.42
3044;12778674;10.00;16.71;42.72;1277786.68;215020.60;148.57
3060;13534937;10.00;19.19;42.90;1353440.27;217989.00;155.22
3076;13823882;10.00;19.47;43.41;1382126.84;219845.45;157.17
3092;12996587;10.00;17.67;42.47;1299473.88;216105.54;150.33
3108;14035709;10.00;19.96;43.61;1403469.14;220791.40;158.91
3124;13613269;10.00;18.93;43.34;1361256.05;218616.81;155.67
3140;12535340;10.00;17.06;41.66;1253413.37;213476.50;146.79
3156;14014429;10.00;19.50;43.98;1401373.74;220769.20;158.69
3172;13693312;10.00;19.58;43.25;1368916.83;217942.26;157.03
3188;12790485;10.00;16.93;42.54;1278970.32;215074.58;148.67
3204;13878698;10.00;19.40;43.59;1387791.04;220331.77;157.47
3220;13754251;10.00;19.37;43.34;1375301.60;219331.06;156.76
3236;12718971;10.00;17.32;42.23;1271837.64;213584.74;148.87
3252;13410270;10.00;18.51;43.21;1340931.32;217275.92;154.29
3268;13705551;10.00;19.15;43.48;1370487.85;218833.64;156.57
3284;12666847;10.00;17.00;42.18;1266622.32;214039.32;147.94
3300;13673918;10.00;19.17;43.48;1367323.75;218258.87;156.62
3316;13645910;10.00;19.09;43.33;1364528.94;218614.39;156.04
3332;12806327;10.00;17.62;42.25;1280579.02;213902.24;149.67
3348;13590686;10.00;18.61;43.63;1358949.89;218359.35;155.59
3364;13802934;10.00;19.08;43.84;1380225.69;219372.76;157.29
3380;12753117;10.00;17.36;42.12;1275250.67;214410.17;148.69
3396;13716889;10.00;19.69;43.36;1371626.96;217555.73;157.62
3412;13752038;10.00;19.01;43.73;1375125.59;219190.91;156.84
3428;13564951;10.00;18.70;43.89;1356248.02;216727.13;156.45
3444;13684538;10.00;19.03;43.62;1368327.54;218428.38;156.61
3460;14082998;10.00;19.59;44.25;1408215.62;220598.34;159.59
3476;12469217;10.00;17.43;41.75;1246829.72;210699.85;147.94
3492;13547779;10.00;18.98;42.93;1354694.79;218830.22;154.77
3508;13739146;10.00;19.10;43.56;1373816.78;219265.02;156.64
3524;12917570;10.00;17.55;42.76;1291680.36;214186.20;150.77
3540;13589155;10.00;19.04;43.57;1358846.57;217044.48;156.52
3556;13864215;10.00;19.16;44.12;1386323.45;219093.16;158.19
3572;12956106;10.00;17.67;42.56;1295535.91;215110.51;150.57
3588;13139822;10.00;17.88;43.34;1313892.24;214632.83;153.04
3604;13470703;10.00;18.79;43.31;1346986.55;216919.53;155.24
3620;12946595;10.00;17.65;42.45;1294465.23;215417.55;150.23
3636;13632273;10.00;18.80;43.38;1363152.74;219238.87;155.44
3652;13835162;10.00;18.84;44.27;1383448.10;219222.98;157.77
3668;12962430;10.00;17.22;42.87;1296185.26;215716.92;150.22
3684;13791989;10.00;19.63;43.38;1379130.50;218885.72;157.52
3700;13316792;10.00;18.26;43.09;1331557.90;217062.62;153.36
3716;12672479;10.00;17.13;42.28;1267183.90;213305.49;148.52
3732;13460202;10.00;18.62;43.17;1345958.65;217837.87;154.47
3748;13593838;10.00;19.48;42.97;1359316.80;217675.55;156.12
3764;13098163;10.00;17.95;42.68;1309736.22;216034.36;151.57
3780;14045480;10.00;19.77;43.93;1404465.94;220494.19;159.24
3796;13608969;10.00;18.92;43.54;1360785.29;217882.95;156.14
3812;13163199;10.00;17.75;43.01;1316264.89;216642.51;151.89
3828;13404498;10.00;18.81;42.86;1340368.71;217358.49;154.17
3844;13576238;10.00;18.70;43.62;1357547.28;217847.21;155.79
3860;12522303;10.00;17.40;41.50;1252064.37;212602.77;147.23
3876;13284122;10.00;18.23;42.91;1328348.01;217273.83;152.84
3892;13526428;10.00;18.80;43.33;1352587.15;217711.70;155.32
3908;12798861;10.00;17.60;42.42;1279810.43;213243.27;150.04
3924;13605170;10.00;18.98;43.52;1360408.44;217682.72;156.24
3940;13620571;10.00;18.85;43.34;1361982.16;219015.45;155.47
3956;12941854;10.00;17.63;42.94;1294051.40;213667.72;151.41
3972;13832049;10.00;19.42;43.58;1383119.70;219556.33;157.49
3988;13450792;10.00;18.20;43.54;1344658.90;217861.87;154.30
4004;13013972;10.00;17.63;42.41;1301333.86;216755.03;150.09
4020;13324159;10.00;19.04;42.43;1332151.91;216758.73;153.64
4036;13468372;10.00;18.43;43.44;1346722.03;217688.25;154.66
4052;13127457;10.00;17.99;42.75;1312615.84;216125.40;151.83
4068;13907882;10.00;19.83;43.37;1390714.07;220061.42;157.99
4084;13563385;10.00;19.09;42.69;1356266.32;219543.30;154.44
