sched;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_user+sys;CPU_used_per
batch;124052;30.00;236.66;0.50;4134.97;523.07;98.81
deadline;119592;30.00;215.59;0.04;3986.20;554.62;89.84
fifo;117786;30.00;227.96;0.02;3926.01;516.65;94.99
idle;118806;30.00;234.97;0.96;3960.11;503.56;98.30
other;111296;30.00;233.02;1.12;3709.75;475.34;97.56
rr;119463;30.00;228.35;0.00;3982.01;523.16;95.14
