Time;CPU;%usr;%nice;%sys;%iowait;%irq;%soft;%steal;%guest;%gnice;%idle;l1cache
00:26:32;all;96.31;0.00;2.05;0.00;0.00;0.14;0.00;0.00;0.00;1.50;100
00:26:32;0;97.87;0.00;2.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100
00:26:32;1;96.63;0.00;1.12;0.00;0.00;0.00;0.00;0.00;0.00;2.25;100
00:26:32;2;94.44;0.00;4.44;0.00;0.00;0.00;0.00;0.00;0.00;1.11;100
00:26:32;3;97.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.17;100
00:26:32;4;95.70;0.00;1.08;0.00;0.00;1.08;0.00;0.00;0.00;2.15;100
00:26:32;5;95.56;0.00;3.33;0.00;0.00;0.00;0.00;0.00;0.00;1.11;100
00:26:32;6;95.60;0.00;2.20;0.00;0.00;0.00;0.00;0.00;0.00;2.20;100
00:26:32;7;96.77;0.00;2.15;0.00;0.00;0.00;0.00;0.00;0.00;1.08;100
00:26:33;all;96.25;0.00;3.08;0.00;0.00;0.67;0.00;0.00;0.00;0.00;100
00:26:33;0;97.87;0.00;2.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100
00:26:33;1;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100
00:26:33;2;85.57;0.00;9.28;0.00;0.00;5.15;0.00;0.00;0.00;0.00;100
00:26:33;3;97.78;0.00;2.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100
00:26:33;4;98.94;0.00;1.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100
00:26:33;5;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100
00:26:33;6;91.21;0.00;8.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100
00:26:33;7;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100
00:26:34;all;98.68;0.00;1.19;0.00;0.00;0.13;0.00;0.00;0.00;0.00;100
00:26:34;0;98.91;0.00;1.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100
00:26:34;1;98.95;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100
00:26:34;2;95.83;0.00;3.12;0.00;0.00;1.04;0.00;0.00;0.00;0.00;100
00:26:34;3;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100
00:26:34;4;98.92;0.00;1.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100
00:26:34;5;98.96;0.00;1.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100
00:26:34;6;97.87;0.00;2.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100
00:26:34;7;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100
